time,open,high,low,close,Volume,Volume MA
1685566200,83203455802,83204287645,83203455802,83204287645,24142435100.913902,24142435100.913895
1685566500,83203455802,83204287645,83203455802,83203455802,24142435100.913902,24142435100.913895
1685566800,83204287645,83204287645,83201792116,83201792116,24142435100.913902,24142435100.913895
1685567100,83202623959,83202623959,83199296586,83200128429,24142435100.913902,24142435100.913895
1685567400,83200128429,83200128429,83199296586,83199296586,24142435100.913902,24142435100.913895
1685567700,83200128429,83200128429,83199296586,83199296586,24142435100.913902,24142435100.913895
1685568000,83200128429,83200128429,83199296586,83200128429,24142435100.913902,24142435100.913895
1685568300,83199296586,83200128429,83199296586,83200128429,24142435100.913902,24142435100.913895
1685568600,83200128429,83200128429,83199296586,83200128429,24142435100.913902,24142435100.913895
1685568900,83199296586,83200128429,83199296586,83200128429,24142435100.913902,24142435100.913895
1685569200,83199296586,83200960272,83199296586,83200960272,24142435100.913902,24142435100.913895
1685569500,83200960272,83200960272,83199296586,83200960272,24142435100.913902,24142435100.913895
1685569800,83200128429,83200960272,83200128429,83200960272,24142435100.913902,24142435100.913895
1685570100,83200128429,83200960272,83196801056,83197632899,24142435100.913902,24142435100.913895
1685570400,83196801056,83200960272,83196801056,83200128429,24142435100.913902,24142435100.913895
1685570700,83200128429,83201792116,83200128429,83200960272,24142435100.913902,24142435100.913895
1685571000,83200960272,83202623959,83200960272,83201792116,24142435100.913902,24142435100.913895
1685571300,83201792116,83203455802,83201792116,83202623959,24142435100.913902,24142435100.913895
1685571600,83202623959,83203455802,83202623959,83202623959,24142435100.913902,24142435100.913895
1685571900,83202623959,83203455802,83197632899,83197632899,24142435100.913902,24142435100.913895
1685572200,83197632899,83201792116,83197632899,83200960272,24142435100.913902,24142435100.913895
1685572500,83200960272,83204287645,83200960272,83203455802,24142435100.913902,24142435100.913895
1685572800,83203455802,83204287645,83203455802,83203455802,24142435100.913902,24142435100.913895
1685573100,83203455802,83204287645,83202623959,83203455802,24142435100.913902,24142435100.913895
1685573400,83203455802,83204287645,83203455802,83203455802,24142435100.913902,24142435100.913895
1685573700,83203455802,83204287645,83200128429,83200128429,24142435100.913902,24142435100.913895
1685574000,83200960272,83202623959,83200128429,83201792116,24142435100.913902,24142435100.913895
1685574300,83201792116,83205119489,83201792116,83204287645,24142435100.913902,24142435100.913895
1685574600,83204287645,83206783175,83204287645,83206783175,24142435100.913902,24142435100.913895
1685574900,83205951332,83207615018,83205951332,83207615018,24142435100.913902,24142435100.913895
1685575200,83206783175,83207615018,83206783175,83207615018,24142435100.913902,24142435100.913895
1685575500,83207615018,83207615018,83205119489,83205951332,24142435100.913902,24142435100.913895
1685575800,83205951332,83208446861,83205119489,83208446861,24142435100.913902,24142435100.913895
1685576100,83208446861,83208446861,83204287645,83204287645,24142435100.913902,24142435100.913895
1685576400,83205119489,83205951332,83204287645,83205951332,24142435100.913902,24142435100.913895
1685576700,83205119489,83205951332,83205119489,83205119489,24142435100.913902,24142435100.913895
1685577000,83205119489,83205951332,83203455802,83204287645,24142435100.913902,24142435100.913895
1685577300,83204287645,83205951332,83203455802,83205119489,24142435100.913902,24142435100.913895
1685577600,83205119489,83205119489,83202623959,83203455802,22653489218.4143,24067987806.788918
1685577900,83203455802,83206783175,83202623959,83205119489,22653489218.4143,23993540512.663937
1685578200,83205119489,83205951332,83200960272,83200960272,22653489218.4143,23919093218.53896
1685578500,83200960272,83205119489,83200960272,83204287645,22653489218.4143,23844645924.41398
1685578800,83204287645,83205951332,83202623959,83203455802,22653489218.4143,23770198630.289
1685579100,83204287645,83204287645,83202623959,83202623959,22653489218.4143,23695751336.164024
1685579400,83202623959,83204287645,83202623959,83203455802,22653489218.4143,23621304042.039043
1685579700,83203455802,83204287645,83203455802,83204287645,22653489218.4143,23546856747.914066
1685580000,83204287645,83204287645,83203455802,83203455802,22653489218.4143,23472409453.789085
1685580300,83203455802,83204287645,83203455802,83204287645,22653489218.4143,23397962159.66411
1685580600,83203455802,83204287645,83203455802,83203455802,22653489218.4143,23323514865.53913
1685580900,83203455802,83205119489,83203455802,83204287645,22653489218.4143,23249067571.41415
1685581200,83204287645,83205119489,83204287645,83204287645,22653489218.4143,23174620277.289173
1685581500,83204287645,83205119489,83201792116,83202623959,22653489218.4143,23100172983.164192
1685581800,83202623959,83204287645,83201792116,83203455802,22653489218.4143,23025725689.039215
1685582100,83203455802,83204287645,83203455802,83203455802,22653489218.4143,22951278394.914238
1685582400,83203455802,83204287645,83202623959,83203455802,22653489218.4143,22876831100.789257
1685582700,83202623959,83203455802,83202623959,83202623959,22653489218.4143,22802383806.66428
1685583000,83203455802,83205119489,83202623959,83205119489,22653489218.4143,22727936512.5393
1685583300,83204287645,83205951332,83204287645,83205119489,22653489218.4143,22653489218.41432
1685583600,83205119489,83205951332,83205119489,83205119489,22653489218.4143,22653489218.41432
1685583900,83205119489,83206783175,83205119489,83205951332,22653489218.4143,22653489218.41432
1685584200,83205951332,83208446861,83205951332,83207615018,22653489218.4143,22653489218.41432
1685584500,83206783175,83207615018,83206783175,83206783175,22653489218.4143,22653489218.41432
1685584800,83207615018,83207615018,83205119489,83205951332,22653489218.4143,22653489218.41432
1685585100,83205951332,83206783175,83205119489,83205951332,22653489218.4143,22653489218.41432
1685585400,83205951332,83206783175,83204287645,83204287645,22653489218.4143,22653489218.41432
1685585700,83204287645,83205119489,83204287645,83205119489,22653489218.4143,22653489218.41432
1685586000,83204287645,83205119489,83203455802,83203455802,22653489218.4143,22653489218.41432
1685586300,83204287645,83205119489,83203455802,83204287645,22653489218.4143,22653489218.41432
1685586600,83204287645,83205119489,83202623959,83202623959,22653489218.4143,22653489218.41432
1685586900,83202623959,83203455802,83201792116,83201792116,22653489218.4143,22653489218.41432
1685587200,83202623959,83202623959,83201792116,83202623959,22653489218.4143,22653489218.41432
1685587500,83202623959,83205119489,83201792116,83205119489,22653489218.4143,22653489218.41432
1685587800,83204287645,83209278705,83204287645,83208446861,22653489218.4143,22653489218.41432
1685588100,83208446861,83209278705,83208446861,83208446861,22653489218.4143,22653489218.41432
1685588400,83209278705,83209278705,83203455802,83203455802,22653489218.4143,22653489218.41432
1685588700,83203455802,83204287645,83202623959,83203455802,22653489218.4143,22653489218.41432
1685589000,83202623959,83203455802,83202623959,83202623959,22653489218.4143,22653489218.41432
1685589300,83202623959,83203455802,83200960272,83201792116,22653489218.4143,22653489218.41432
1685589600,83201792116,83201792116,83200960272,83200960272,22653489218.4143,22653489218.41432
1685589900,83201792116,83201792116,83197632899,83197632899,22653489218.4143,22653489218.41432
1685590200,83197632899,83198464743,83195969213,83196801056,22653489218.4143,22653489218.41432
1685590500,83195969213,83196801056,83194305526,83195137370,22653489218.4143,22653489218.41432
1685590800,83195137370,83195137370,83194305526,83195137370,22653489218.4143,22653489218.41432
1685591100,83194305526,83199296586,83194305526,83197632899,22653489218.4143,22653489218.41432
1685591400,83197632899,83198464743,83195137370,83195137370,22653489218.4143,22653489218.41432
1685591700,83195137370,83196801056,83194305526,83195969213,22653489218.4143,22653489218.41432
1685592000,83195969213,83195969213,83193473683,83194305526,22653489218.4143,22653489218.41432
1685592300,83193473683,83194305526,83193473683,83194305526,22653489218.4143,22653489218.41432
1685592600,83193473683,83194305526,83193473683,83193473683,22653489218.4143,22653489218.41432
1685592900,83194305526,83194305526,83193473683,83193473683,22653489218.4143,22653489218.41432
